ad_id	phenotype	ad_file	file_name	sample_size	sample_size_source	include	notes
ADvsHC	ADvsHC	AlzDisease_LMM/BWAS_meta_AD_vs._HC_QC_8SD.linear_random_oscaFormat	BWAS_meta_AD_vs._HC_QC_8SD.linear_random_oscaFormat	3542	fixed_numeric_confirmed	true	confirmed by Baptiste
AD_vsMCI	AD_vsMCI	AlzDisease_LMM/BWAS_meta_AD_vs._MCI_QC_8SD.linear_random_oscaFormat	BWAS_meta_AD_vs._MCI_QC_8SD.linear_random_oscaFormat	NA	missing_unconfirmed	false	sample size not yet confirmed
Alzheimer_s_progression_3_stages	Alzheimer_s_progression_3_stages	AlzDisease_LMM/BWAS_meta_Alzheimer's_progression_-__3_stages_QC_8SD.linear_random_oscaFormat	BWAS_meta_Alzheimer's_progression_-__3_stages_QC_8SD.linear_random_oscaFormat	NA	missing_unconfirmed	false	sample size not yet confirmed
Clinical_Dementia_Rating_sum_of_boxes	Clinical_Dementia_Rating_sum_of_boxes	AlzDisease_LMM/BWAS_meta_Clinical_Dementia_Rating_-_sum_of_boxes_QC_8SD.linear_random_oscaFormat	BWAS_meta_Clinical_Dementia_Rating_-_sum_of_boxes_QC_8SD.linear_random_oscaFormat	NA	missing_unconfirmed	false	sample size not yet confirmed
Clinical_Dementia_Rating	Clinical_Dementia_Rating	AlzDisease_LMM/BWAS_meta_Clinical_Dementia_Rating_QC_8SD.linear_random_oscaFormat	BWAS_meta_Clinical_Dementia_Rating_QC_8SD.linear_random_oscaFormat	NA	missing_unconfirmed	false	sample size not yet confirmed
Conversion1year	Conversion1year	AlzDisease_LMM/BWAS_meta_Conversion_at_1_year_QC_8SD.linear_random_oscaFormat	BWAS_meta_Conversion_at_1_year_QC_8SD.linear_random_oscaFormat	1257	fixed_numeric_confirmed	true	confirmed by Baptiste
Conversion2years	Conversion2years	AlzDisease_LMM/BWAS_meta_Conversion_at_2_years_QC_8SD.linear_random_oscaFormat	BWAS_meta_Conversion_at_2_years_QC_8SD.linear_random_oscaFormat	1199	fixed_numeric_confirmed	true	confirmed by Baptiste
Conversion3years	Conversion3years	AlzDisease_LMM/BWAS_meta_Conversion_at_3_years_QC_8SD.linear_random_oscaFormat	BWAS_meta_Conversion_at_3_years_QC_8SD.linear_random_oscaFormat	1031	fixed_numeric_confirmed	true	confirmed by Baptiste
Conversion4years	Conversion4years	AlzDisease_LMM/BWAS_meta_Conversion_at_4_years_QC_8SD.linear_random_oscaFormat	BWAS_meta_Conversion_at_4_years_QC_8SD.linear_random_oscaFormat	1285	fixed_numeric_confirmed	true	confirmed by Baptiste
Conversion5years	Conversion5years	AlzDisease_LMM/BWAS_meta_Conversion_at_5_years_QC_8SD.linear_random_oscaFormat	BWAS_meta_Conversion_at_5_years_QC_8SD.linear_random_oscaFormat	1197	fixed_numeric_confirmed	true	confirmed by Baptiste
Functional_assessment_questionnaire	Functional_assessment_questionnaire	AlzDisease_LMM/BWAS_meta_Functional_assessment_questionnaire_QC_8SD.linear_random_oscaFormat	BWAS_meta_Functional_assessment_questionnaire_QC_8SD.linear_random_oscaFormat	NA	missing_unconfirmed	false	sample size not yet confirmed
Geriatric_Depression_Scale	Geriatric_Depression_Scale	AlzDisease_LMM/BWAS_meta_Geriatric_Depression_Scale_QC_8SD.linear_random_oscaFormat	BWAS_meta_Geriatric_Depression_Scale_QC_8SD.linear_random_oscaFormat	NA	missing_unconfirmed	false	sample size not yet confirmed
Logical_memory_delayed_recall	Logical_memory_delayed_recall	AlzDisease_LMM/BWAS_meta_Logical_memory_-_delayed_recall_QC_8SD.linear_random_oscaFormat	BWAS_meta_Logical_memory_-_delayed_recall_QC_8SD.linear_random_oscaFormat	NA	missing_unconfirmed	false	sample size not yet confirmed
Logical_memory_immediate_recall	Logical_memory_immediate_recall	AlzDisease_LMM/BWAS_meta_Logical_memory_-_immediate_recall_QC_8SD.linear_random_oscaFormat	BWAS_meta_Logical_memory_-_immediate_recall_QC_8SD.linear_random_oscaFormat	NA	missing_unconfirmed	false	sample size not yet confirmed
MCIvsHC	MCIvsHC	AlzDisease_LMM/BWAS_meta_MCI_vs._HC_QC_8SD.linear_random_oscaFormat	BWAS_meta_MCI_vs._HC_QC_8SD.linear_random_oscaFormat	3976	fixed_numeric_confirmed	true	confirmed by Baptiste
Maternal_AD	Maternal_AD	AlzDisease_LMM/BWAS_meta_Maternal_AD_QC_8SD.linear_random_oscaFormat	BWAS_meta_Maternal_AD_QC_8SD.linear_random_oscaFormat	NA	missing_unconfirmed	false	sample size not yet confirmed
MMSE	MMSE	AlzDisease_LMM/BWAS_meta_Mini_Mental_State_Examination_QC_8SD.linear_random_oscaFormat	BWAS_meta_Mini_Mental_State_Examination_QC_8SD.linear_random_oscaFormat	6981	fixed_numeric_confirmed	true	confirmed by Baptiste
Neuropsychiatric_Inventory_Score	Neuropsychiatric_Inventory_Score	AlzDisease_LMM/BWAS_meta_Neuropsychiatric_Inventory_Score_QC_8SD.linear_random_oscaFormat	BWAS_meta_Neuropsychiatric_Inventory_Score_QC_8SD.linear_random_oscaFormat	NA	missing_unconfirmed	false	sample size not yet confirmed
Paternal_AD	Paternal_AD	AlzDisease_LMM/BWAS_meta_Paternal_AD_QC_8SD.linear_random_oscaFormat	BWAS_meta_Paternal_AD_QC_8SD.linear_random_oscaFormat	NA	missing_unconfirmed	false	sample size not yet confirmed
RAVLT_percent_forgetting	RAVLT_percent_forgetting	AlzDisease_LMM/BWAS_meta_RAVLT_%_forgetting_QC_8SD.linear_random_oscaFormat	BWAS_meta_RAVLT_%_forgetting_QC_8SD.linear_random_oscaFormat	NA	missing_unconfirmed	false	sample size not yet confirmed
RAVLT_delayed	RAVLT_delayed	AlzDisease_LMM/BWAS_meta_RAVLT_delayed_QC_8SD.linear_random_oscaFormat	BWAS_meta_RAVLT_delayed_QC_8SD.linear_random_oscaFormat	NA	missing_unconfirmed	false	sample size not yet confirmed
